UNICODE	文字	重複数	Win31J代表コード	Win31J副コード
2116	№	2	8782:#NUMERO SIGN	FA59
2121	℡	2	8784:#TELEPHONE SIGN	FA5A
2160	Ⅰ	2	8754:#ROMAN NUMERAL ONE	FA4A
2161	Ⅱ	2	8755:#ROMAN NUMERAL TWO	FA4B
2162	Ⅲ	2	8756:#ROMAN NUMERAL THREE	FA4C
2163	Ⅳ	2	8757:#ROMAN NUMERAL FOUR	FA4D
2164	Ⅴ	2	8758:#ROMAN NUMERAL FIVE	FA4E
2165	Ⅵ	2	8759:#ROMAN NUMERAL SIX	FA4F
2166	Ⅶ	2	875A:#ROMAN NUMERAL SEVEN	FA50
2167	Ⅷ	2	875B:#ROMAN NUMERAL EIGHT	FA51
2168	Ⅸ	2	875C:#ROMAN NUMERAL NINE	FA52
2169	Ⅹ	2	875D:#ROMAN NUMERAL TEN	FA53
2170	ⅰ	2	FA40:#SMALL ROMAN NUMERAL ONE	EEEF
2171	ⅱ	2	FA41:#SMALL ROMAN NUMERAL TWO	EEF0
2172	ⅲ	2	FA42:#SMALL ROMAN NUMERAL THREE	EEF1
2173	ⅳ	2	FA43:#SMALL ROMAN NUMERAL FOUR	EEF2
2174	ⅴ	2	FA44:#SMALL ROMAN NUMERAL FIVE	EEF3
2175	ⅵ	2	FA45:#SMALL ROMAN NUMERAL SIX	EEF4
2176	ⅶ	2	FA46:#SMALL ROMAN NUMERAL SEVEN	EEF5
2177	ⅷ	2	FA47:#SMALL ROMAN NUMERAL EIGHT	EEF6
2178	ⅸ	2	FA48:#SMALL ROMAN NUMERAL NINE	EEF7
2179	ⅹ	2	FA49:#SMALL ROMAN NUMERAL TEN	EEF8
221A	√	2	81E3:#SQUARE ROOT	8795
2220	∠	2	81DA:#ANGLE	8797
2229	∩	2	81BF:#INTERSECTION	879B
222A	∪	2	81BE:#UNION	879C
222B	∫	2	81E7:#INTEGRAL	8792
2235	∵	3	81E6:#BECAUSE	FA5B,879A
2252	≒	2	81E0:#APPROXIMATELY EQUAL TO OR THE IMAGE OF	8790
2261	≡	2	81DF:#IDENTICAL TO	8791
22A5	⊥	2	81DB:#UP TACK	8796
3231	㈱	2	878A:#PARENTHESIZED IDEOGRAPH STOCK	FA58
4E28	丨	2	FA68:#CJK UNIFIED IDEOGRAPH	ED4C
4EE1	仡	2	FA69:#CJK UNIFIED IDEOGRAPH	ED4D
4EFC	仼	2	FA6A:#CJK UNIFIED IDEOGRAPH	ED4E
4F00	伀	2	FA6B:#CJK UNIFIED IDEOGRAPH	ED4F
4F03	伃	2	FA6C:#CJK UNIFIED IDEOGRAPH	ED50
4F39	伹	2	FA6D:#CJK UNIFIED IDEOGRAPH	ED51
4F56	佖	2	FA6E:#CJK UNIFIED IDEOGRAPH	ED52
4F8A	侊	2	FA70:#CJK UNIFIED IDEOGRAPH	ED54
4F92	侒	2	FA6F:#CJK UNIFIED IDEOGRAPH	ED53
4F94	侔	2	FA72:#CJK UNIFIED IDEOGRAPH	ED56
4F9A	侚	2	FA71:#CJK UNIFIED IDEOGRAPH	ED55
4FC9	俉	2	FA61:#CJK UNIFIED IDEOGRAPH	ED45
4FCD	俍	2	FA73:#CJK UNIFIED IDEOGRAPH	ED57
4FFF	俿	2	FA76:#CJK UNIFIED IDEOGRAPH	ED5A
501E	倞	2	FA77:#CJK UNIFIED IDEOGRAPH	ED5B
5022	倢	2	FA75:#CJK UNIFIED IDEOGRAPH	ED59
5040	偀	2	FA74:#CJK UNIFIED IDEOGRAPH	ED58
5042	偂	2	FA7A:#CJK UNIFIED IDEOGRAPH	ED5E
5046	偆	2	FA78:#CJK UNIFIED IDEOGRAPH	ED5C
5070	偰	2	FA79:#CJK UNIFIED IDEOGRAPH	ED5D
5094	傔	2	FA7B:#CJK UNIFIED IDEOGRAPH	ED5F
50D8	僘	2	FA7D:#CJK UNIFIED IDEOGRAPH	ED61
50F4	僴	2	FA7C:#CJK UNIFIED IDEOGRAPH	ED60
514A	兊	2	FA7E:#CJK UNIFIED IDEOGRAPH	ED62
5164	兤	2	FA80:#CJK UNIFIED IDEOGRAPH	ED63
519D	冝	2	FA81:#CJK UNIFIED IDEOGRAPH	ED64
51BE	冾	2	FA82:#CJK UNIFIED IDEOGRAPH	ED65
51EC	凬	2	FA83:#CJK UNIFIED IDEOGRAPH	ED66
5215	刕	2	FA84:#CJK UNIFIED IDEOGRAPH	ED67
529C	劜	2	FA85:#CJK UNIFIED IDEOGRAPH	ED68
52A6	劦	2	FA86:#CJK UNIFIED IDEOGRAPH	ED69
52AF	劯	2	FB77:#CJK UNIFIED IDEOGRAPH	EE5B
52C0	勀	2	FA87:#CJK UNIFIED IDEOGRAPH	ED6A
52DB	勛	2	FA88:#CJK UNIFIED IDEOGRAPH	ED6B
5300	匀	2	FA89:#CJK UNIFIED IDEOGRAPH	ED6C
5307	匇	2	FA8A:#CJK UNIFIED IDEOGRAPH	ED6D
5324	匤	2	FA8B:#CJK UNIFIED IDEOGRAPH	ED6E
5372	卲	2	FA8C:#CJK UNIFIED IDEOGRAPH	ED6F
5393	厓	2	FA8D:#CJK UNIFIED IDEOGRAPH	ED70
53B2	厲	2	FA8E:#CJK UNIFIED IDEOGRAPH	ED71
53DD	叝	2	FA8F:#CJK UNIFIED IDEOGRAPH	ED72
548A	咊	2	FA92:#CJK UNIFIED IDEOGRAPH	ED75
549C	咜	2	FA91:#CJK UNIFIED IDEOGRAPH	ED74
54A9	咩	2	FA93:#CJK UNIFIED IDEOGRAPH	ED76
54FF	哿	2	FA94:#CJK UNIFIED IDEOGRAPH	ED77
5586	喆	2	FA95:#CJK UNIFIED IDEOGRAPH	ED78
5759	坙	2	FA96:#CJK UNIFIED IDEOGRAPH	ED79
5765	坥	2	FA97:#CJK UNIFIED IDEOGRAPH	ED7A
57AC	垬	2	FA98:#CJK UNIFIED IDEOGRAPH	ED7B
57C7	埇	2	FA9A:#CJK UNIFIED IDEOGRAPH	ED7D
57C8	埈	2	FA99:#CJK UNIFIED IDEOGRAPH	ED7C
589E	增	2	FA9D:#CJK UNIFIED IDEOGRAPH	ED81
58B2	墲	2	FA9E:#CJK UNIFIED IDEOGRAPH	ED82
590B	夋	2	FA9F:#CJK UNIFIED IDEOGRAPH	ED83
5953	奓	2	FAA0:#CJK UNIFIED IDEOGRAPH	ED84
595B	奛	2	FAA1:#CJK UNIFIED IDEOGRAPH	ED85
595D	奝	2	FAA2:#CJK UNIFIED IDEOGRAPH	ED86
5963	奣	2	FAA3:#CJK UNIFIED IDEOGRAPH	ED87
59A4	妤	2	FAA4:#CJK UNIFIED IDEOGRAPH	ED88
59BA	妺	2	FAA5:#CJK UNIFIED IDEOGRAPH	ED89
5B56	孖	2	FAA6:#CJK UNIFIED IDEOGRAPH	ED8A
5BC0	寀	2	FAA7:#CJK UNIFIED IDEOGRAPH	ED8B
5BD8	寘	2	FAA9:#CJK UNIFIED IDEOGRAPH	ED8D
5BEC	寬	2	FAAA:#CJK UNIFIED IDEOGRAPH	ED8E
5C1E	尞	2	FAAB:#CJK UNIFIED IDEOGRAPH	ED8F
5CA6	岦	2	FAAC:#CJK UNIFIED IDEOGRAPH	ED90
5CBA	岺	2	FAAD:#CJK UNIFIED IDEOGRAPH	ED91
5CF5	峵	2	FAAE:#CJK UNIFIED IDEOGRAPH	ED92
5D27	崧	2	FAAF:#CJK UNIFIED IDEOGRAPH	ED93
5D42	嵂	2	FAB2:#CJK UNIFIED IDEOGRAPH	ED96
5D53	嵓	2	FAB0:#CJK UNIFIED IDEOGRAPH	ED94
5D6D	嵭	2	FAB3:#CJK UNIFIED IDEOGRAPH	ED97
5DB8	嶸	2	FAB4:#CJK UNIFIED IDEOGRAPH	ED98
5DB9	嶹	2	FAB5:#CJK UNIFIED IDEOGRAPH	ED99
5DD0	巐	2	FAB6:#CJK UNIFIED IDEOGRAPH	ED9A
5F21	弡	2	FAB7:#CJK UNIFIED IDEOGRAPH	ED9B
5F34	弴	2	FAB8:#CJK UNIFIED IDEOGRAPH	ED9C
5F45	彅	2	FA67:#CJK UNIFIED IDEOGRAPH	ED4B
5F67	彧	2	FAB9:#CJK UNIFIED IDEOGRAPH	ED9D
5FB7	德	2	FABA:#CJK UNIFIED IDEOGRAPH	ED9E
5FDE	忞	2	FABB:#CJK UNIFIED IDEOGRAPH	ED9F
605D	恝	2	FABC:#CJK UNIFIED IDEOGRAPH	EDA0
6085	悅	2	FABD:#CJK UNIFIED IDEOGRAPH	EDA1
608A	悊	2	FABE:#CJK UNIFIED IDEOGRAPH	EDA2
60D5	惕	2	FAC0:#CJK UNIFIED IDEOGRAPH	EDA4
60DE	惞	2	FABF:#CJK UNIFIED IDEOGRAPH	EDA3
60F2	惲	2	FAC2:#CJK UNIFIED IDEOGRAPH	EDA6
6111	愑	2	FAC3:#CJK UNIFIED IDEOGRAPH	EDA7
6120	愠	2	FAC1:#CJK UNIFIED IDEOGRAPH	EDA5
6130	愰	2	FAC5:#CJK UNIFIED IDEOGRAPH	EDA9
6137	愷	2	FAC4:#CJK UNIFIED IDEOGRAPH	EDA8
6198	憘	2	FAC6:#CJK UNIFIED IDEOGRAPH	EDAA
6213	戓	2	FAC7:#CJK UNIFIED IDEOGRAPH	EDAB
62A6	抦	2	FAC8:#CJK UNIFIED IDEOGRAPH	EDAC
63F5	揵	2	FAC9:#CJK UNIFIED IDEOGRAPH	EDAD
6460	摠	2	FACA:#CJK UNIFIED IDEOGRAPH	EDAE
649D	撝	2	FACB:#CJK UNIFIED IDEOGRAPH	EDAF
64CE	擎	2	FACC:#CJK UNIFIED IDEOGRAPH	EDB0
654E	敎	2	FACD:#CJK UNIFIED IDEOGRAPH	EDB1
6600	昀	2	FACE:#CJK UNIFIED IDEOGRAPH	EDB2
6609	昉	2	FAD1:#CJK UNIFIED IDEOGRAPH	EDB5
6615	昕	2	FACF:#CJK UNIFIED IDEOGRAPH	EDB3
661E	昞	2	FAD3:#CJK UNIFIED IDEOGRAPH	EDB7
6624	昤	2	FAD4:#CJK UNIFIED IDEOGRAPH	EDB8
662E	昮	2	FAD2:#CJK UNIFIED IDEOGRAPH	EDB6
6631	昱	2	FA63:#CJK UNIFIED IDEOGRAPH	ED47
663B	昻	2	FAD0:#CJK UNIFIED IDEOGRAPH	EDB4
6657	晗	2	FAD6:#CJK UNIFIED IDEOGRAPH	EDBA
6659	晙	2	FAD7:#CJK UNIFIED IDEOGRAPH	EDBB
6665	晥	2	FAD5:#CJK UNIFIED IDEOGRAPH	EDB9
6673	晳	2	FAD9:#CJK UNIFIED IDEOGRAPH	EDBD
6699	暙	2	FADA:#CJK UNIFIED IDEOGRAPH	EDBE
66A0	暠	2	FADB:#CJK UNIFIED IDEOGRAPH	EDBF
66B2	暲	2	FADC:#CJK UNIFIED IDEOGRAPH	EDC0
66BF	暿	2	FADD:#CJK UNIFIED IDEOGRAPH	EDC1
66FA	曺	2	FADE:#CJK UNIFIED IDEOGRAPH	EDC2
66FB	曻	2	FA66:#CJK UNIFIED IDEOGRAPH	ED4A
670E	朎	2	FADF:#CJK UNIFIED IDEOGRAPH	EDC3
6766	杦	2	FAE1:#CJK UNIFIED IDEOGRAPH	EDC5
67BB	枻	2	FAE2:#CJK UNIFIED IDEOGRAPH	EDC6
67C0	柀	2	FAE4:#CJK UNIFIED IDEOGRAPH	EDC8
6801	栁	2	FAE5:#CJK UNIFIED IDEOGRAPH	EDC9
6844	桄	2	FAE6:#CJK UNIFIED IDEOGRAPH	EDCA
6852	桒	2	FAE3:#CJK UNIFIED IDEOGRAPH	EDC7
68C8	棈	2	FA64:#CJK UNIFIED IDEOGRAPH	ED48
68CF	棏	2	FAE7:#CJK UNIFIED IDEOGRAPH	EDCB
6968	楨	2	FAE9:#CJK UNIFIED IDEOGRAPH	EDCD
6998	榘	2	FAEB:#CJK UNIFIED IDEOGRAPH	EDCF
69E2	槢	2	FAEC:#CJK UNIFIED IDEOGRAPH	EDD0
6A30	樰	2	FAED:#CJK UNIFIED IDEOGRAPH	EDD1
6A46	橆	2	FAEF:#CJK UNIFIED IDEOGRAPH	EDD3
6A6B	橫	2	FAEE:#CJK UNIFIED IDEOGRAPH	EDD2
6A73	橳	2	FAF0:#CJK UNIFIED IDEOGRAPH	EDD4
6A7E	橾	2	FAF1:#CJK UNIFIED IDEOGRAPH	EDD5
6AE2	櫢	2	FAF2:#CJK UNIFIED IDEOGRAPH	EDD6
6AE4	櫤	2	FAF3:#CJK UNIFIED IDEOGRAPH	EDD7
6BD6	毖	2	FAF4:#CJK UNIFIED IDEOGRAPH	EDD8
6C3F	氿	2	FAF5:#CJK UNIFIED IDEOGRAPH	EDD9
6C5C	汜	2	FAF6:#CJK UNIFIED IDEOGRAPH	EDDA
6C6F	汯	2	FAF8:#CJK UNIFIED IDEOGRAPH	EDDC
6C86	沆	2	FAF7:#CJK UNIFIED IDEOGRAPH	EDDB
